assessid,assessorid,stockid,stocklong,recorder,daterecorded,dateloaded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,NEFSC,BLUEFISHATLC,Bluefish Atlantic Coast,SHEPHERD,4/30/2009,8/1/2012,1981-2007,http://www.asmfc.org,Gary Shepherd  gary.shepherd@noaa.gov,,,1,1,ASAP,,../spreadsheets/SHEPHERD-BLUEFISH-2008-editedDR.xls,999
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,NWFSC,BLUEROCKCAL,Blue rockfish California,BRANCH,11/21/2008,8/1/2012,1916-2007,http://www.pcouncil.org/groundfish/gfsafe1008/KeySAFE_BlueRF_Jan08.pdf,,,,1,1,SS2,,../spreadsheets/BRANCH-BLUEROCKCAL-2007-editedDR-QAQC.xls,999
FAJ-BMACKECS-1992-2010-ONO,FAJ,BMACKECS,Blue mackerel East China Sea,ONO,9/17/2012,10/19/2012,1992-2010,NULL,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-BMACKECS-2010-DH-edited.xls,999
FAJ-BMACKPJPN-1995-2009-ONO,FAJ,BMACKPJPN,Blue mackerel Pacific Coast of Japan,ONO,1/25/2012,12/31/2001,1995-2009,http://abchan.job.affrc.go.jp/digests22/details/2207.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-BMACKPJPN-2009-DH-edited.xls,999
ICCAT-BMARLINATL-1956-2010-CHING,ICCAT,BMARLINATL,Blue marlin Atlantic,CHING,9/28/2012,11/2/2012,1956-2010,www.iccat.es/Documents/Meetings/Docs/2011_BUM_ASSESS_ENG.pdf,Laurie Kell,NULL,"Report-of-the-2011-blue-marlin-stock-assessment-and-white-marlin-data-preparatory-meeting-(Madrid, Spain - April 25 to 29, 2011).",1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BMARLINATL-2012-DH-edited.xls,999
ISC-BMARLINPAC-1952-2010-CHING,ISC,BMARLINPAC,Blue marlin Pacific Ocean,CHING,9/28/2012,11/2/2012,1952-2010,http://www.publish.csiro.au/?act=view_file&file_id=MF11244.pdf,Chi-Lu Sun (chilu@ntu.edu.tw),NULL,Incorporating-habitat-preference-into-the-stock-assessment-and-management-of-blue-marlin-(Makaira nigricans)-in-the-Pacific-Ocean.,1,1,SCA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BMARLINPAC-2012-DH-edited.xls,999
PFMC-BNKROCKCAL-1979-1999-CHING,PFMC,BNKROCKCAL,Bank Rockfish California,CHING,10/15/2012,1/5/2013,1979-1999,http://www.pcouncil.org/wp-content/uploads/Bank_Rockfish_2000_Assessment.pdf,NULL,NULL,"Bank Rockfish (Sebastes rufus) Stock Assessment for Eureka, Monterey and Conception INPFC Areas North of Pt. Conception, California.",1,1,SS1,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BNKROCKCAL-2000-DH-edited.xls,999
SEFSC-BNOSESHARATL-1950-2005-FAUCONNET,SEFSC,BNOSESHARATL,Blacknose shark Atlantic,FAUCONNET,5/6/2009,8/1/2012,1950-2005,http://www.sefsc.noaa.gov/sedar/,,,,1,1,ASPM,State-space age-structured production model,../spreadsheets/FAUCONNET-BNOSESHARATL-2007-editedDR.xls,999
NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE,NZMFishINSHOREWG,BNSNZ,Bluenose New Zealand,CORDUE,5/25/2012,8/3/2012,1935-2011,https://fs.fish.govt.nz/Page.aspx?pk=113&dk=22977,Patrick Cordue (plc@isl-solutions.co.nz),,12_06_FAR.pdf,1,1,CASAL,"A grid of 18 MPD runs in assessment (catch history 3 alternatives; M .06,.08,.1; h .75,.9. Submitted run is base catch history, M=0.08, h=0.75.",/home/srdbadmin/srdb/spreadsheets/CORDUE-BNSNZ-2012-DH-edited.xls,999
PFMC-BOCACCSPCOAST-1930-2009-CHING,PFMC,BOCACCSPCOAST,Bocaccio Southern Pacific Coast,CHING,10/16/2012,1/5/2013,1930-2009,http://www.pcouncil.org/wp-content/uploads/Bocaccio_Final_Jan15_2010.pdf,John Field (John.Field@noaa.gov),NULL,"Status of bocaccio, Sebastes paucispinis, in the Conception, Monterey and Eureka INPFC areas for 2009.",1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BOCACCSPCOAST-2009-DH-edited.xls,999
FAO-SPNWA-BONGAWA-1990-2010-CHING,FAO-SPNWA,BONGAWA,Bonga West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,UnknownYPRM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BONGAWA-2010-DH-edited.xls,999
FAJ-BRMSOJ-1980-2010-ONO,FAJ,BRMSOJ,Yellow sea bream Sea of Japan,ONO,9/17/2012,10/19/2012,1980-2010,NULL,contact details,in japanese,,1,1,Unknown,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-BRMSOJ-2010-DH-edited.xls,999
FAO-DRSS-BRMSPPWASG1-1994-2007-CHING,FAO-DRSS,BRMSPPWASG1,Seabream West Africa Subgroup 1,CHING,1/22/2014,1/1/2002,1994-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BRMSPPWASG1-2007-DH-edited.xls,999
FAO-DRSS-BRMSPPWASG2-1990-2007-CHING,FAO-DRSS,BRMSPPWASG2,Seabream West Africa Subgroup 2,CHING,1/22/2014,1/1/2002,1990-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BRMSPPWASG2-2007-DH-edited.xls,999
FAO-DRSS-BRMSPPWASG3-1995-2007-CHING,FAO-DRSS,BRMSPPWASG3,"Seabream West Africa Subgroup 3
",CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BRMSPPWASG3-2007-DH-edited.xls,999
SEFSC-BRNSHRIMPGM-1984-2011-HIVELY,SEFSC,BRNSHRIMPGM,Brown shrimp Gulf of Mexico,HIVELY,8/18/2013,8/23/2013,1984-2011,NULL,NULL,NULL,Brown_Shrimp_GOMex_2012.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BRNSHRIMPGM-2011-DH-edited.xls,999
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,NEFSC,BSBASSMATLC,Black sea bass Mid-Atlantic Coast,SHEPHERD,4/29/2009,8/1/2012,1968-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,Gary Shepherd  gary.shepherd@noaa.gov,,,1,1,SCALE,Statistical catch at length model. Considered a data poor stock.,../spreadsheets/SHEPHERD-BLACKSEABASS-2008-editedOJ.xls,999
SEFSC-BSBASSSATL-1950-2010-HIVELY,SEFSC,BSBASSSATL,Black sea bass South Atlantic,HIVELY,5/11/2014,12/31/2001,1950-2010,http://www.sefsc.noaa.gov/sedar/,NULL,NULL,SEDAR25_BlackSeaBass_SAR.pdf,1,1,BAM,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BSBASSSATL-2010-DH-edited.xls,999
NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE,NEFSC,BSKAT5YZSNE,Barndoor skate Gulf of Marine / Georges Bank-Southern New England,SOSEBEE,4/21/2009,8/1/2012,1963-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0710/,,,,0,0,Survey indices,,../spreadsheets/SOSBEE-BARNDOORSKATE-2007-editedDR.xls,999
DFO-MAR-BSKATCANATL-1970-1987-PREFONTAINE,DFO-MAR,BSKATCANATL,Barndoor skate Canadian Atlantic Ocean,PREFONTAINE,7/9/2008,8/1/2012,1970-1987,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,"Estimates of abundance of barndoor skate in areas 4XVW can be found in Figure 9 and Figure 18. There are four different figures for catch rates, Figure 30 is the catch per tow of area 4X5Y from the monkfish Industry/Science Surveys, Figure 33 is also the",,0,0,Survey indices,no comments,../spreadsheets/PREFONTAINE-BARNSK-2002-editedDR.xls,999
IFOP-BSQLOBSTERCH-1979-2012-CHING,IFOP,BSQLOBSTERCH,Blue Squat Lobster Chilean,CHING,3/25/2013,1/1/2002,1979-2012,NULL,NULL,NULL,ESTATUS 2013_2°INF Langostino amarillo,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BSQLOBSTERCH-2012-DH-edited.xls,999
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,SEFSC,BTIPSHARATL,Blacktip shark Atlantic,FAUCONNET,5/5/2009,8/1/2012,1981-2004,http://www.sefsc.noaa.gov/sedar/,,,,1,1,SPASM,,../spreadsheets/FAUCONNET-BTIPSHARATL-2006-editedDR.xls,999
SEFSC-BTIPSHARGM-1981-2010-HIVELY,SEFSC,BTIPSHARGM,Blacktip shark Gulf of Mexico,HIVELY,12/15/2014,12/31/2001,1981-2010,http://www.sefsc.noaa.gov/sedar/download/S29_GOM%20blacktip%20report_SAR_final.pdf?id=DOCUMENT,NULL,NULL,BTIPSHARGM-2012,1,1,SPASM,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BTIPSHARGM-2010-DH-edited.xls,999
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,CSIRO,BTSHRIMPNAUST,Northern Australia brown tiger shrimp,FULTON,4/30/2008,8/1/2012,1970-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,Delay difference,,../spreadsheets/Fulton-brown_tiger_prawn-australia-2007_v2-editedDR-QAQC.xls,999
NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY,NEFSC,BUTTERGOMCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,HIVELY,12/28/2014,1/1/2002,1965-2012,http://nefsc.noaa.gov/publications/crd/crd1404/parta.pdf,NULL,NULL,BUTTERGOMCHATT-2014,1,1,ASAP,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-BUTTERGOMCHATT-2014-DH-edited.xls,999
IFOP-BWHITCH-1979-2012-CHING,IFOP,BWHITCH,Blue Whiting Chile,CHING,3/19/2013,8/23/2013,1979-2012,NULL,NULL,NULL,__Estatus 2013_2° Inf. Merluza tres aletas,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BWHITCH-2012-DH-edited.xls,999
WGNPBW-BWHITNEA-1980-2012-CHING,WGNPBW,BWHITNEA,Blue Whiting Northeast Atlantic,CHING,2/5/2013,8/23/2013,1980-2012,http://www.ices.dk/committe/acom/comwork/report/2012/2012/whb-comb.pdf,NULL,NULL,whb-comb,1,1,SAM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-BWHITNEA-2012-DH-edited.xls,999
PFMC-CABEZNCAL-1930-2009-CHING,PFMC,CABEZNCAL,Cabezon Northern California,CHING,10/16/2012,1/5/2013,1930-2009,http://www.pcouncil.org/wp-content/uploads/Cabezon09_FINAL.pdf,NULL,NULL,Status of Cabezon (Scorpaenichthys marmoratus) in California and Oregon Waters as Assessed in 2009.,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CABEZNCAL-2009-DH-edited.xls,999
NWFSC-CABEZORECOAST-1973-2009-STACHURA,NWFSC,CABEZORECOAST,Cabezon Oregon Coast,STACHURA,9/26/2011,1/10/2013,1973-2009,http://www.pcouncil.org/wp-content/uploads/Cabezon09_FINAL.pdf,Data obtained from Melissa Haltuch (melissa.haltuch@noaa.gov),"This is for the Oregon cabezon stock (ORS). The 2009 cabezon assessment retains the two California sub-stocks from the last assessment in 2006 (the northern California sub-stock (NCS) and the southern California sub-stock (SCS), demarcated at Point Concep",NWFSC-CABEZON-2009.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/STACHURA-CABEZORECOAST-2009-DH-edited.xls,999
PFMC-CABEZSCAL-1930-2009-CHING,PFMC,CABEZSCAL,Cabezon Southern California,CHING,10/16/2012,1/5/2013,1930-2009,http://www.pcouncil.org/wp-content/uploads/Cabezon09_FINAL.pdf,NULL,NULL,Status of Cabezon (Scorpaenichthys marmoratus) in California and Oregon Waters as Assessed in 2009.,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CABEZSCAL-2009-DH-edited.xls,999
SWFSC-CALSCORPSCAL-1990-2005-STANTON,SWFSC,CALSCORPSCAL,California scorpionfish Southern California,STANTON,8/7/2009,8/1/2012,1990-2005,http://www.dfg.ca.gov/marine/scorpionfish/index.asp,contact details,,,1,1,AD-CAM,no comments,../spreadsheets/STANTON-SCORPWC-2005-editedDR.xls,999
NWWG-CAPEICE-1977-2010-NEUBAUER,NWWG,CAPEICE,Capelin Iceland,NEUBAUER,7/5/2011,12/27/2012,1977-2010,Sec 12 Capelin in the Iceland-East Greenland-Jan Mayen area,NULL,NULL,,1,0,Acoustic,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-CAPEICE-2011-DH-edited.xls,999
AFWG-CAPENOR-1965-2007-MINTO,AFWG,CAPENOR,Capelin Barents Sea,MINTO,4/8/2008,8/1/2012,1965-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-AFWG-2007.pdf,1,1,CapTool,"Full details of the model used are in The methodology is described in “Stock assessment methodology for the
Barents Sea capelin”, WD # 8 to AFWG 2006.",../spreadsheets/MINTO-CAPENOR-2007-editedDR-QAQC.xls,999
FAO-DRSS-CATWASG1-1994-2008-CHING,FAO-DRSS,CATWASG1,Catfish West Africa Subgroup 1,CHING,1/22/2014,1/1/2002,1994-2008,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CATWASG1-2007-DH-edited.xls,999
FAO-DRSS-CATWASG3-1995-2007-CHING,FAO-DRSS,CATWASG3,Catfish West Africa Subgroup 3,CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CATWASG3-2007-DH-edited.xls,999
MARAM-CHAKESA-1917-2013-Rademeyer,MARAM,CHAKESA,Shallow-water cape hake South Africa,Rademeyer,1/14/2014,12/31/2001,1917-2013,http://www.math.uct.ac.za/maram/workshop/2013/MARAM_IWS_DEC13_Hake_P2.pdf,Rebecca Rademeyer (rebeccarademeyer@gmail.com),The two hake species (M. paradoxus and M. capensis) are treated as two species but assessed within a single assessment as some of the data can not be disaggregated by species.,MARAM_IWS_DEC13_Hake_P2.pdf,1,1,unknown,NULL,/home/srdbadmin/srdb/spreadsheets/Rademeyer-CHAKESA-2013-DH-edited.xls,999
IFOP-CHERRCHVX-1960-2012-CHING,IFOP,CHERRCHVX,Chilean Herring Chile Region V-X,CHING,3/25/2013,1/1/2002,1960-2012,NULL,NULL,NULL,ESTATUS 2013_2° INF sardina2013,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CHERRCHVX-2012-DH-edited.xls,999
NWFSC-CHILISPCOAST-1892-2007-BRANCH,NWFSC,CHILISPCOAST,Chilipepper Southern Pacific Coast,BRANCH,11/21/2008,8/1/2012,1892-2007,http://www.pcouncil.org/groundfish/gfsafe1008/ChilipepperDec17_2007_DBS.pdf,"John Field, John.Field@noaa.gov",,,1,1,SS2,,../spreadsheets/BRANCH-CHILISPCOAST-2007-editedDR-summarybiomass.xls,999
FAO-SPNWA-CHMACKWA-1990-2010-CHING,FAO-SPNWA,CHMACKWA,Cunene Horse Mackerel West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CHMACKWA-2010-DH-edited.xls,999
SPRFMO-CHTRACCH-1950-2010-RICARD,SPRFMO,CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,RICARD,2/28/2011,8/1/2012,1950-2010,http://www.southpacificrfmo.org/chilean-jack-mackerel-workshop-Meeting-Documents/,,"Original entry was from Olaf, current model output received from Andrew Penney.",,1,0,JJM,,../spreadsheets/RICARD-JACKMACKCH-2010-editedDR.xls,999
SWFSC-CMACKPCOAST-1929-2008-PINSKY,SWFSC,CMACKPCOAST,Pacific chub mackerel Pacific Coast,PINSKY,3/27/2009,8/1/2012,1929-2008,http://www.pcouncil.org/cps/cpssafe/0608safe/PFMC_2008_CPS_SAFE_App2_PMackerel.pdf,,,,1,1,ASAP,"SS2 method also tried, but not used",../spreadsheets/PINSKY-CMACKPCOAST-2008-editedDR.xls,999
FAJ-CMACKPJPN-1970-2009-ONO,FAJ,CMACKPJPN,Chub mackerel Pacific Coast of Japan,ONO,1/25/2012,12/31/2001,1970-2009,http://abchan.job.affrc.go.jp/digests22/details/2205.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-CMACKPJPN-2009-DH-edited.xls,999
FAJ-CMACKTSST-1973-2010-ONO,FAJ,CMACKTSST,Chub mackerel Tsushima Strait,ONO,9/17/2012,10/19/2012,1973-2010,http://abchan.job.affrc.go.jp/digests23/details/2308.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-CMACKTSST-2010-DH-edited.xls,999
FAO-SPNWA-CMACKWA-1990-2010-CHING,FAO-SPNWA,CMACKWA,Chub Mackerel West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,LPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CMACKWA-2010-DH-edited.xls,999
DFO-NFLD-COD2J3KL-1850-2011-CHING,DFO-NFLD,COD2J3KL,Atlantic cod NAFO 2J3KL,CHING,10/22/2013,12/31/2001,1850-2011,NULL,NULL,NULL,Stock Assesment of Northern (2J3KL) Cod in 2013,1,1,SURBA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD2J3KL-2011-DH-edited.xls,999
NAFO-SC-COD3M-1960-2012-CHING,NAFO-SC,COD3M,Atlantic cod NAFO 3M,CHING,2/12/2013,8/23/2013,1960-2012,NULL,NULL,NULL,NULL,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD3M-2011-DH-edited.xls,999
NAFO-SC-COD3NO-1953-2011-CHING,NAFO-SC,COD3NO,Atlantic cod NAFO 3NO,CHING,2/12/2013,8/23/2013,1953-2011,http://www.nafo.int/data/frames/data.html,NULL,NULL,scs12-19,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD3NO-2011-DH-edited.xls,999
DFO-QUE-COD3Pn4RS-1964-2012-CHING,DFO-QUE,COD3Pn4RS,Atlantic cod NAFO 3Pn4RS,CHING,1/30/2013,8/23/2013,1964-2012,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2012/2012_005-eng.pdf,Alain Frechet (Alain.Frechet@dfo-mpo.gc.ca),"SSB from separate pdf: Duplisea, D., and A. Frechet. 2011. Updated reference point estimates for nortern Gulf of St. Lawrence (3Pn4RS) cod (Gladus morhua) based on revised beginning of year weights at age. 2011_003-eng","2012_005-eng Assessmen of the Northern Gulf of St. Lawrence (3Pn, 4RS) Cod Stock in 2011",1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD3Pn4RS-2012-DH-edited.xls,999
DFO-NFLD-COD3Ps-1959-2011-CHING,DFO-NFLD,COD3Ps,Atlantic cod NAFO 3Ps,CHING,2/7/2013,8/23/2013,1959-2011,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2011/2011_079-eng.pdf,vanessa.sutton-pande@dfo.mpo.gc.ca,"TB-1 is offshore, TB-2 is all strata <300fms",2011_079-eng.pdf,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD3Ps-2011-DH-edited.xls,999
DFO-SG-COD4TVn-1930-2011-CHING,DFO-SG,COD4TVn,Atlantic cod NAFO 4TVn,CHING,2/20/2013,8/23/2013,1930-2011,http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_052-eng.pdf,NULL,NULL,2012_052-eng,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-COD4TVn-2012-DH-edited.xls,999
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,DFO-MAR,COD4VsW,Atlantic cod NAFO 4VsW,PREFONTAINE,6/9/2008,8/1/2012,1958-2002,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Robert Mohn, MohnR@dfo-mpo.gc.ca","The total mortality (Z) can be used as an estimate of natural mortality (M) since 1993, the year where the fishary was closed, as fishing mortality (F) is close to 0.",,1,1,Unknown,no comments,../spreadsheets/PREFONTAINE-COD4VsW-2003-editedDR-QAQC.xls,999
DFO-MAR-COD4X-1953-2008-HIVELY,DFO-MAR,COD4X,Atlantic Cod NAFO 4X,HIVELY,9/17/2013,12/31/2001,1953-2008,http://www.isdm-gdsi.gc.ca/csas-sccs/applications/publications/index-eng.asp,NULL,NULL,2009_018_e.pdf,1,1,VPA,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-COD4X-2008-DH-edited.xls,999
WGBFAS-CODBA2224-1965-2012-CHING,WGBFAS,CODBA2224,Atlantic cod Baltic Areas 22 and 24,CHING,2/20/2013,8/23/2013,1965-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-2224.pdf,NULL,NULL,cod-2224,1,1,SAM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODBA2224-2012-DH-edited.xls,999
WGBFAS-CODBA2532-1966-2012-CHING,WGBFAS,CODBA2532,Atlantic cod Baltic Areas 25-32,CHING,2/20/2013,12/31/2001,1966-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-2532.pdf,NULL,NULL,cod-2532,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODBA2532-2012-DH-edited.xls,999
NWWG-CODFAPL-1959-2012-CHING,NWWG,CODFAPL,Atlantic cod Faroe Plateau,CHING,2/27/2013,8/23/2013,1959-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-farp.pdf,NULL,NULL,cod-farp,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODFAPL-2012-DH-edited.xls,999
NEFSC-CODGB-1976-2011-CHING,NEFSC,CODGB,Atlantic cod Georges Bank,CHING,2/13/2013,8/23/2013,1976-2011,http://nefsc.noaa.gov/publications/crd/crd1301/crd1301.pdf,NULL,NULL,crd1301,1,1,ASAP,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODGB-2013-DH-edited.xls,999
NEFSC-CODGOM-1981-2011-CHING,NEFSC,CODGOM,Atlantic cod Gulf of Maine,CHING,2/13/2013,8/23/2013,1981-2011,http://nefsc.noaa.gov/publications/crd/crd1301/parta.pdf,NULL,NULL,crd1301,1,1,ASAP,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODGOM-2013-DH-edited.xls,999
NWWG-CODICE-1952-2012-CHING,NWWG,CODICE,Atlantic cod Iceland,CHING,2/25/2013,8/23/2013,1952-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-iceg.pdf,NULL,NULL,cod-iceg,1,1,SCA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODICE-2012-DH-edited.xls,999
WGBFAS-CODIS-1968-2010-NEUBAUER,WGBFAS,CODIS,Atlantic cod Irish Sea,NEUBAUER,7/1/2011,12/20/2012,1968-2010,http://www.ices.dk/reports/ACOM/2011/WGCSE/draft_06.2_Cod%20VIIa.pdf,NULL,NULL,,1,1,B-ADAPT,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-CODIS-2011-DH-edited.xls,999
WGBFAS-CODKAT-1971-2012-CHING,WGBFAS,CODKAT,Atlantic cod Kattegat,CHING,2/7/2013,8/23/2013,1971-2012,http://www.ices.dk/committe/acom/comwork/report/2012/2012/cod-kat.pdf,NULL,NULL,cod-kat,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODKAT-2012-DH-edited.xls,999
AFWG-CODNEAR-1946-2011-CHING,AFWG,CODNEAR,Atlantic cod Northeast Arctic,CHING,2/25/2013,8/23/2013,1946-2011,http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acfm/2006/afwg/03-NEA%20Cod.pdf,NULL,NULL,AFWG Report 2012,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODNEAR-2012-DH-edited.xls,999
WGNSSK-CODNS-1962-2011-NEUBAUER,WGNSSK,CODNS,Atlantic cod North Sea,NEUBAUER,7/1/2011,12/12/2012,1962-2011,http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2014%20Cod.pdf,NULL,NULL,,1,1,SAM,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-CODNS-2011-DH-edited.xls,999
WGCSE-CODVIa-1981-2012-CHING,WGCSE,CODVIa,Atlantic cod West of Scotland,CHING,2/25/2013,12/31/2001,1981-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-scow.pdf,NULL,NULL,cod-scow,1,1,TSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODVIa-2012-DH-edited.xls,999
WGBFAS-CODVIIek-1971-2012-CHING,WGBFAS,CODVIIek,Atlantic Cod Celtic Sea,CHING,2/26/2013,8/23/2013,1971-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2012/WGCSE/07.01_07.02_CS%20Overview_Cod%20VIIe_k_2012.pdf,NULL,NULL,07.01_07.02_CS Overview_Cod VIIe_k_2012,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CODVIIek-2012-DH-edited.xls,999
PFMC-COWCODSCAL-1900-2015-HIVELY,PFMC,COWCODSCAL,Cowcod Southern California,HIVELY,1/25/2015,1/1/2002,1900-2015,http://www.pcouncil.org/,NULL,NULL,COWCODSCAL-2013,1,1,XDB-SRA,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-COWCODSCAL-2013-DH-edited.xls,999
MARAM-CRLOBSTERSA12-1910-2012-Johnston,MARAM,CRLOBSTERSA12,West coast rock lobster South Africa Areas 1-2,Johnston,12/19/2013,12/31/2001,1910-2012,http://www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_AUG_WCRL_24.pdf,Susan Holloway (susan.holloway@uct.ac.za),NULL,FISHERIES_2013_AUG_WCRL_24.PDF,1,1,SSPDM,NULL,/home/srdbadmin/srdb/spreadsheets/Johnston-CRLOBSTERSA12-2013-DH-edited.xls,999
MARAM-CRLOBSTERSA34-1910-2012-Johnston,MARAM,CRLOBSTERSA34,West coast rock lobster South Africa Areas 3-4,Johnston,12/19/2013,12/31/2001,1910-2012,http://www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_AUG_WCRL_24.pdf,Susan Holloway (susan.holloway@uct.ac.za),NULL,FISHERIES_2013_AUG_WCRL_24.PDF,1,1,SSPDM,NULL,/home/srdbadmin/srdb/spreadsheets/Johnston-CRLOBSTERSA34-2013-DH-edited.xls,999
